Tulossa,Poistuu,Malli,Numero,Kohteen osoite,Postinumero,Postitoimipaikka,Sijaintipaikan tyyppi,Sijaintipaikka,Aukioloaika,Aukioloaika (lisätiedot),Koordinaatti LAT,Koordinaatti LON
,,O,04051,YLÄNEENTIE 2,32500,ORIPÄÄ,PANKIN KONTTORI,OP ORIPÄÄ,24 H AUKIOLO,,60.856340,22.696270
,,O,04519,SALLILANTIE 49,32610,VAMPULA,PANKIN KONTTORI,OP VAMPULA,24 H AUKIOLO,,61.026468,22.689317
,,P,05973,RISTO RYTIN KATU 2,32700,HUITTINEN,KAUPPAKESKUS,HÄRKÄPAKARI,24 H AUKIOLO,,61.174630,22.681280
,,O,05015,RISTO RYTIN KATU 37,32700,HUITTINEN,KAUPPA,S-MARKET HUITTINEN,24 H AUKIOLO,,61.177112,22.701297
,,T,40149,SÄRMÄKATU 1,32700,HUITTINEN,KAUPPA,K-SUPERMARKET LAUTTURI,LIIKETILAN AUKIOLO,,61.178820,22.697910
,,O,04161,PÄÄTIE 11,32740,SASTAMALA,LIIKEKIINTEISTÖ,APTEEKKI,24 H AUKIOLO,,61.285140,22.697330
,,O+,40186,HAAPIONKATU 14,32800,KOKEMÄKI,KAUPPA,S-MARKET KOKEMÄKI,24 H AUKIOLO,,61.254900,22.348970
,,O+,40261,TELJÄNPORTTI 3,32800,KOKEMÄKI,KAUPPA,K-SUPERMARKET TELJÄNPORTTI,LIIKETILAN AUKIOLO,,61.256230,22.342570
,,EP,05633,HATANPÄÄN VALTATIE 1,33100,TAMPERE,KAUPPAKESKUS,KOSKIKESKUS 2 .KRS,LIIKETILAN AUKIOLO,,61.496000,23.766960
,,EP,05634,HATANPÄÄN VALTATIE 1,33100,TAMPERE,KAUPPAKESKUS,KOSKIKESKUS 2 KRS,LIIKETILAN AUKIOLO,,61.495970,23.766610
,,T,40021,HATANPÄÄN VALTATIE 1,33100,TAMPERE,KAUPPAKESKUS,KOSKIKESKUS 1. KRS.,LIIKETILAN AUKIOLO,,61.495290,23.767930
,,O+,40189,HÄMEENKATU 12,33100,TAMPERE,PANKIN KONTTORI,OP TAMPERE,24 H AUKIOLO,,61.498300,23.767330
,,EP,05505,HÄMEENKATU 4,33100,TAMPERE,TAVARATALO,STOCKMANN / LIUKUPORTAAN VIERESSÄ,LIIKETILAN AUKIOLO,,61.498518,23.770483
,,P,05915,HÄMEENKATU 7,33100,TAMPERE,PANKIN KONTTORI,NORDEA HÄMEENKATU 7,24 H AUKIOLO,,61.498230,23.768940
,,P,05780,RAUTATIENKATU 25,33100,TAMPERE,RAUTATIEASEMA,RAUTATIEASEMA / ASEMATUNNELI,24 H AUKIOLO,,61.498390,23.772020
,,P,05765,TAMMELAN PUISTOKATU 26,33100,TAMPERE,KAUPPA,K-MARKET MESTARI,24 H AUKIOLO,,61.500800,23.779440
,,T,40163,TULLIKATU 6,33100,TAMPERE,KAUPPAKESKUS,TULLINTORI / 0-KERROKSEN AULA,LIIKETILAN AUKIOLO,,61.497330,23.777020
,,EP,05629,VUOLTEENKATU 1,33100,TAMPERE,KAUPPAKESKUS,KAUPPAKESKUS RATINA P1-TASO,LIIKETILAN AUKIOLO,,61.494200,23.769030
,,O+,40268,VUOLTEENKATU 1,33100,TAMPERE,KAUPPAKESKUS,KAUPPAKESKUS RATINA,LIIKETILAN AUKIOLO,,61.493290,23.769430
,,EP,05478,KÄPYTIE 4,33180,TAMPERE,KAUPPA,K-MARKET LAPINNIEMI,LIIKETILAN AUKIOLO,,61.508810,23.778460
,,EP,05493,HÄMEENKATU 21,33200,TAMPERE,TAVARATALO,SOKOS,LIIKETILAN AUKIOLO,,61.497130,23.757930
,,EP,05494,HÄMEENKATU 21,33200,TAMPERE,TAVARATALO,SOKOS,LIIKETILAN AUKIOLO,,61.497130,23.757860
,,T,40025,HÄMEENKATU 22,33200,TAMPERE,PANKIN KONTTORI,NORDEA HÄMEENKATU 22,ITSEPALVELUALUEEN AUKIOLO,ma-su klo 7 - 19:30,61.497580,23.756400
,,P,05993,KUNINKAANKATU 26,33200,TAMPERE,PANKIN KONTTORI,NORDEA TAMPERE,24 H AUKIOLO,,61.497700,23.757060
,,P,05994,KUNINKAANKATU 26,33200,TAMPERE,PANKIN KONTTORI,NORDEA TAMPERE,24 H AUKIOLO,,61.497790,23.756630
,,O,04713,ITÄINENKATU 9,33210,TAMPERE,LIIKEKIINTEISTÖ,FINLAYSON,24 H AUKIOLO,,61.500954,23.759031
,,O,04241,KUNINKAANKATU 22,33210,TAMPERE,LIIKEKIINTEISTÖ,KÄVELYKATU,24 H AUKIOLO,,61.498873,23.756534
,,EP,05496,PUUTARHAKATU 10,33210,TAMPERE,LIIKEKIINTEISTÖ,LIIKETILA, ENT. ANTTILA TAMPERE,LIIKETILAN AUKIOLO,,61.499210,23.756030
